service_type,pcode,pname,afcode,afname,pcategory,date,srtype,cat1,cat2,cat3,catxcode,md_id,act_cnt,cs_content
공통,x05,뉴 숯 황토방매트(더블+싱글),x55x,(주) 진영의료기,생활가전,x0xxxx0x,불만,교환/반품/AS관련,기준외교환요청,기준외교환요청-상품불량,OSxxx00x,80xx0,x,"@고객 : 재문의/ Ex / AS거부/ 처음부터 불량으로 교환받았음 / 동일건/ 그럼 처음부터 전구성 맞교환했으면, 되지 않았는지/ 날도 추븐데, 어떻게 하라는건지/ 맞교환으로 처리 바람 / 수긍 수취인 :  (0xx-xx4-xxx5/-x40x-8x00) [자택] 전남 광양시 광영동 xxx번지 로데오 x0x동 50x호@CS : 오류 메세지 확인 /Ex매트불량으로 매트+조절기 전체 선수거후 AS받으셔야함/ 기간경과, 맞교환 불가 업체 재확인 처리 가능시 접수후 문자/ 변동시 전화드림더블x셋트 <조절기 +매트> 미리 포장 @연락처 : x40x8x00 @협력사문의/요구사항 :  위내용 확인 부탁드립니다. 고객님 AS거부/ 맞교환요청 하십니다.   고객 강성으로 예외적으로 더블x셋트 맞교환 접수 부탁드립니다.  x차 교환건 입니다."
공통,x8x,프리미엄 뉴듀얼하트 퀸매트,x55x,(주) 진영의료기,생활가전,x0xxxx0x,문의,협력사/배송원/상담원관련,상담원관련,특정상담원통화요청,OSx00404,80xx0,x,@고객 : 상담원 바꿔달라 하심/계속 바꿔달라하심@CS : 상담도와드린다고 안내/ x0분내로 연락드린다고 안내@연락처 : 05xx45x545@협력사문의/요구사항 :
공통,x80,파란들 로이드 거실장 x단,x0xx40x,좋은가구,가구,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,80x0x,x,@고객 : 상기건으로 재인입 / 확인안된다는게 이해가 가냐고함 카드값은 청구되었다고함@CS : 죄송 x시까지 연락@연락처 : 5xx00xxx
공통,x84,본넬스프링 매트리스 수퍼싱글,x0xx40x,좋은가구,가구,x0xxxx0x,문의,주문관련,주문취소관련,주문취소문의,OS04x00x,80x0x,x,"■xx504xx0 -재문의○당사이번주내 배송,취소시 물류 비용  x0000 원●고객배송 수긍 기다려 보겟음★상품배송 받기로 하셨어요  ,,,내일 꼭 부탁드립니다"
공통,4x0,독립스프링 매트리스 수퍼싱글,x0xx40x,좋은가구,가구,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,80x0x,x,@고객 : 이관 // 배송문의 // 이번엔 정말 배송되는거 맞냐심.. 계속 기다리지않냐 불만..@CS : xx/5~x 배송예정임 // xx/x 배송확인 문자드림.@연락처 : xxxxx8x8※ xx/5~x 꼭 배송진행해주세요. 추가 지연없도록 관리바랍니다.
공통,xxx,(DM사)전통문양 강화면기4종_x,x00xx5x,(주)엠디엠 엠케이티,기타,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,x000x,x,★유베이스이관★@고객 : 이관중끊김 @CS : @연락처 : @협력사문의/요구사항 :
공통,xxx,미셸 투톤 롤스크린 800 옷장,x0xx40x,좋은가구,가구,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,80x0x,x,** 주문번호 xxxx8xxxx 미셸 투톤 롤스크린 800 옷장@고객 : 여> 낼배송되는거 맞는지?@CS : 낼배송맞음안내 @연락처 : 55xx0x0x 수취인 :  (-55xx-0x0x/-55xx-0x0x) [자택] 전북 전주시 완산구 삼천동x가 x05-x번지 우성그린 x동 x0x호(오픈)
공통,8xx,러블리 절개 롱 원피스,x8xx,(주)로이룩,의류,x0xxxx0x,문의,소비자보호,관리고객,관리고객,OSxxxx0x,80x04,x,@고객 : 밑단 박음질이 안되어있음/ 그래서 옷이 입으면 말려 들어감/빠른 반품완료 요청@CS : 담당부서에 전달하여 금일중 문자 혹은 전화안내드리게 요청하겟음@연락처 : xxx5xx50@협력사 문의사항: 밑단 박음질 불량으로 확인됩니다. 답변 부탁드립니다.
공통,0xx,★레인보우암막 창문(+봉셋트),xxxxxx,텍스윈,침구,x0xxxx0x,불만,상품품질관련,상품누락/오배송/파손,누락(본품/구성품/사은품),OSx5xx0x,80xxx,x,@고객 : 수량 x개 주문을 해서 커튼양쪽에 묶는 커튼끈이 총 4개가와야하는데 x개만배송됨 커튼끈x개 발송요청@CS :  5일발송@연락처 : xxxx4x04@협력사문의/요구사항 : 커튼끈 x개 누락입니다  내일 바로출고될까요 주소     수취인 :  (055-x58-4x04/-xxxx-4x04) [자택] 경남 진주시 xxxx번지 입니다
공통,x0x,워셔블 잘자요 매트 세트,x55x,(주) 진영의료기,생활가전,x0xxxx0x,불만,상품품질관련,상품불량,기능/작동불량,OSx5x,80xx0,x,@고객 : 다른 상품으로 구매 원함 / 반품 요청@CS : 교환 문자 발송 확인됨 / 최종 반품건으로 업체 다시 확인후 5시까지 연락 반품 수거 진행시 접수후 문자     수취인 :  (-5xxx-xx8x/-5xxx-xx8x) [자택] 전남 순천시 생목동 5x번지 벽산 x0x동 x04호@연락처 : 5xxxxx8x@협력사문의/요구사항 : 교환 요청건 교환 하지 않고 반품 한다고 합니다.[새벽에 갑자가 작동이 안된다심. 조절기에 불도 안들어온다심]시스템 처리 가능할까요?
공통,45x,진주 엠보 블라우스,x0xx540,빈컴퍼니,의류,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,80x45,x,★이관@고객 : 재문의@CS :  죄송함. x4시까지 연락. 부재시 문자.@연락처 : @협력사문의/요구사항 :
공통,0x8,x0xx년햅쌀 왕실 경기추청 x0kg,x0x00xx,농업회사법인 바로농산(주),일반식품,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,80x0x,x,@고객 : 배송기사 연락처 문의@CS : -xxxx-xxxx 안내. 익일확인하여 미배송시 연락드림안내@연락처 : 4x40xxxx@협력사문의/요구사항 :
공통,x04,기모 극세사 워서블 매트 더블,x55x,(주) 진영의료기,생활가전,x0xxxx0x,불만,상품품질관련,상품불량,기능/작동불량,OSx5x,80xx0,x,@고객 : 상품수거해갔는데 택배기사 자꾸전화와서 반품상품가지러온다고함 일을 어떻게하는건지. 누가잘못한거냐 / 확인해서 내일오전중으로 전화달라@CS : 여러번번거롭게해드려서 죄송함. 상품수거확인후 익일전화드리겠음 - 오전중 통화요청건으 긴급이관합니다@연락처 : xx044xxx@협력사문의/요구사항 : 상품수거확인부탁드립니다
공통,8xx,일월 나노륨플러스카페트 점보형,x55x,(주) 진영의료기,생활가전,x0xxxx0x,문의,교환/반품/AS관련,반품기준관련,단순반품기준문의,OSxxx,80xx0,x,"@고객 : 어떻게 처리되고있는지? @CS : 입고중으로 확인되며 입고후 안내가능함익일 연락드리겠음 @고객 : x시쯤 연락달라 ,@CS : 알겠음 x시까지전화드리겠음  @연락처 : -x00x-8xxx"
공통,8xx,일월 나노륨플러스카페트 점보형,x55x,(주) 진영의료기,생활가전,x0xxxx0x,불만,교환/반품/AS관련,기준외교환요청,기준외교환요청-상품불량,OSxxx00x,80xx0,x,@고객 : 교환 아닌 반품 요청 / 상품 반품 해달라심@CS : 업체 확인중 / 확인후 5시까지 연락 / 반품가능시 수거 접수 후 문자 @연락처 : xx0x8x80@협력사문의/요구사항 : 사용함. 전선 연결하는 부분 쪽 매트 부분이 열선 올라 온것 처럼 걸림.위 증상으로 반품 확인 부탁 드립니다./  시스템 접수 하면 되까요?
공통,48x,호박고구마 x0kg(긴특상),x0xx0xx,주식회사 누리원,일반식품,x0xxxx0x,불만,상품품질관련,상품불량,기타상품불량,OSx50xx4,80x0x,x,@고객 :아까 고구마때문에 전화함/수긍@CS : 업체 확인중이며 빠르게 확인 후 x시전 연락@연락처 : xx54x48x@협력사문의/요구사항 :
공통,48x,호박고구마 x0kg(긴특상),x0xx0xx,주식회사 누리원,일반식품,x0xxxx0x,불만,상품품질관련,상품불량,기타상품불량,OSx50xx4,80x0x,x,@고객 : 여 > 반품건움의  / 알겠음 @CS : 선수거 입고후 검품  / x일 수거시 문자&연락@연락처 : xx54x48x @협력사문의/요구사항 :
공통,x4x,미고 하이넥 울 니트 원피스,x0xxx4x,JY컴퍼니,의류,x0xxxx0x,불만,배송관련,협력사출고지연,(직송)협력사출고지연,OSx0040x,80x04,x,"[선배이관] @고객 : 원주문번호 8004xxxxx 수취거절했고             새주문번호 8008xxxxx 수령받았음 ,           익일 연락달라해서 연락주었음 @CS : 내용기재 @연락처 : x5x8xxxx"
공통,xx4,데미안 가죽 의자 x개,x00x884,주식회사 베스트리빙,가구,x0xxxx0x,불만,배송관련,배송사배송지연,(직송)배송사배송지연,OSx0050x,80x0x,x,@고객 : [선배이관] 배송문의 / xx/8 이사로 배송지 변경요청하심 / @CS : 익일 xx시까지 연락이나 문자발송안내  @연락처 :  x8xxx800   경기 광명시 철산동 xxx번지 한신 xx0동 x0x호@협력사문의/요구사항 : 문경숙/x8xxx800/경기 광명시 철산동 xxx번지 한신 xx0동 x0x호배송지 변경부탁드립니다 /변경된 주소지로 배송일자 확인 부탁드립니다
공통,x5x,체크룩 울 자켓,x0xxxxx,더자인컴퍼니,의류,x0xxxx0x,문의,수거관련,"수거기사(택배,업체)문의시",수거기사문의-고객확인,OSxx0x0x,80x04,x,@고객 : 05xxx55x08/고객인입>오늘 경비실에 맡기겠다심@CS : 어제 날짜로 택배사에 경비실 에서 수거하라고 전달된 상태임 / 당사 월요일 미수거시에만 전화@연락처 : @협력사문의/요구사항 :
공통,x0x,네파]페트라구스다운남xBxx004,x0xxxx0,한무쇼핑(주) 목동점,의류,x0xxxx0x,문의,교환/반품/AS관련,AS관련,AS요청/센터안내,OSxxxx0x,80x04,x,@고객 : 접수되어 있는지 문의// 빨리 처리 해달라 요청 // 계속 기다리게 하냐시며 빨리 회수해서 처리 해 달라 요청@CS : 접수되어 있음 안내// 송장등록되어 있고 회수될거라 안내드렸으나 미수긍// 담당부서에서 연락드릴 수 있도록 접수해 드린다 안내@연락처 : x4xx05xx@협력사문의/요구사항 :
공통,x04,램스울원버튼포인트롱니트베스트,x00x0x0,와이제이어패럴,의류,x0xxxx0x,문의,배송관련,배송문의/요청,(직송)배송문의/요청,OSx00x0x,80x45,x,@고객 : 언제 받을지도 모르고 그냥 안받고 싶다고 함@CS : 알겠음 반품 접수 도와드림@연락처 : @협력사문의/요구사항 :
공통,xxx,흰민들레진액80ml x0포 x박스,x0x54xx,주식회사 엔씨(NC),건강식품,x0xxxx0x,문의,배송관련,배송문의/요청,(직송)배송문의/요청,OSx00x0x,80x0x,x,"@고객 : 다시 확인해보니 흰민들레진액 배송되었음 /다 받았음@CS : 상품 다 받으신건지 확인, 배송받으신 부분 내용남기겠음"
공통,x8x,기모안감레이스레더배색블라우스,x0xxx50,주식회사 퍼스트엠디,의류,x0xxxx0x,문의,결제/환불관련,환불관련,환불/결제취소문의,OS0xx,80x45,x,"@고객 : 잘못된건 인정 해라.           카드사랑은 통화하니까            44x8x원 내가 더 냈다고 함@CS : 원주문에서 부분취소로 인해           5x80원 + xx,xx0원 결제 < 미수긍          확인후 당일 오후 x시까지 연락드림.@연락처 : xx848544@협력사문의/요구사항 :"
